station_id,capacity,latitude,longitude,station_name
134,20,51.504904,-0.06797,"Wapping High Street, Wapping"
135,21,51.52326,-0.104708,"Clerkenwell Green, Clerkenwell"
136,32,51.511961,-0.097441,"Queen Victoria Street, St. Paul's"
138,19,51.512276,-0.157436,"Green Street, Mayfair"
139,18,51.494881,-0.117974,"Lambeth Road, Vauxhall"
140,33,51.520962,-0.085634,"Finsbury Square , Moorgate"
141,29,51.515308,-0.147203,"Chapel Place, Marylebone"
142,24,51.493724,-0.198286,"West Cromwell Road, Earl's Court"
143,24,51.496886,-0.161203,"Pont Street, Knightsbridge"
144,47,51.48894,-0.111435,"Kennington Cross, Kennington"
145,24,51.500743,-0.202759,"Ilchester Place, Kensington"
146,35,51.488365,-0.129361,"Vauxhall Bridge , Pimlico"
148,16,51.492111,-0.138364,"Tachbrook Street, Victoria"
149,18,51.484788,-0.110683,"Kennington Road Post Office, Oval"
150,28,51.497056,-0.168917,"Holy Trinity Brompton, Knightsbridge"
